code,time,buy_no,sell_no,price,vol,amount
000584,93321860,614789,663810,6.39,1,639
000584,93321860,614795,663810,6.39,1,639
000584,93321860,615101,663810,6.39,1,639
000584,93321860,615160,663810,6.39,1,639
000584,93321860,615250,663810,6.39,1,639
000584,93321860,615404,663810,6.39,1,639
000584,93321860,615482,663810,6.39,1,639
000584,93321860,615544,663810,6.39,1,639
000584,93321860,615550,663810,6.39,1,639
000584,93321860,615672,663810,6.39,1,639
000584,93321860,616424,663810,6.39,1,639
000584,93321860,625406,663810,6.39,1,639
000584,93321860,639889,663810,6.39,2,1278
000584,93321860,639979,663810,6.39,2,1278
000584,93321860,645763,663810,6.39,31,19809
000584,93321860,651422,663810,6.39,1,639
000584,93324190,668573,663810,6.39,5,3195
000584,93324220,668643,663810,6.39,1,639
000584,93324310,668833,663810,6.39,6,3834
000584,93325320,668833,671249,6.39,6,3834
000584,93325320,668838,671249,6.39,1,639
000584,93325320,669069,671249,6.39,3,1917
000584,93328560,670430,677547,6.39,1,639
000584,93328560,670432,677547,6.39,1,639
000584,93328560,670433,677547,6.39,1,639
000584,93340360,674507,702033,6.39,3,1917
000584,93343850,708839,627745,6.4,1,640
000584,93343860,708882,627745,6.4,1,640
000584,93343940,709009,627745,6.4,1,640
000584,93343960,709057,627745,6.4,11,7040
000584,93344010,709129,627745,6.4,6,3840
000584,93344100,709273,627745,6.4,2,1280
000584,93344140,709346,627745,6.4,1,640
000584,93344150,709360,627745,6.4,1,640
000584,93344280,709536,627745,6.4,4,2560
000584,93344450,709912,627745,6.4,1,640
000584,93345100,710814,627745,6.4,1,640
000584,93346020,674507,712899,6.39,2,1278
000584,93346020,674516,712899,6.39,2,1278
000584,93346020,710078,712899,6.39,1,639
000584,93346020,710301,712899,6.39,15,9585
000584,93347010,714630,627745,6.4,1,640
000584,93347010,714638,627745,6.4,1,640
000584,93347370,715198,627745,6.4,1,640
000584,93347440,715382,627745,6.4,3,1920
000584,93347450,715510,627745,6.4,1,640
000584,93347510,715593,627745,6.4,9,5760
000584,93347520,715619,627745,6.4,1,640
000584,93347520,715619,645371,6.4,4,2560
000584,93347590,715749,645371,6.4,1,640
000584,93347650,715849,645371,6.4,1,640
000584,93348240,716766,645371,6.4,54,34560
000584,93348240,716766,660721,6.4,100,64000
000584,93355920,730768,360731,6.41,3,1923
000584,93356880,716766,732386,6.4,5,3200
000584,93357090,732740,360731,6.41,3,1923
000584,93357090,732742,360731,6.41,3,1923
000584,93357090,732744,360731,6.41,6,3846
000584,93357100,732755,360731,6.41,6,3846
000584,93357190,732937,360731,6.41,3,1923
000584,93357260,733101,360731,6.41,3,1923
000584,93357260,733103,360731,6.41,2,1282
000584,93357270,733132,360731,6.41,10,6410
000584,93357290,733213,360731,6.41,21,13461
000584,93357290,733213,679450,6.41,10,6410
000584,93357320,733288,679450,6.41,1,641
000584,93357320,733290,679450,6.41,2,1282
000584,93357320,733292,679450,6.41,2,1282
000584,93357330,733302,679450,6.41,2,1282
000584,93357330,733310,679450,6.41,3,1923
000584,93357360,733361,679450,6.41,2,1282
000584,93357410,733443,679450,6.41,1,641
000584,93357430,733500,679450,6.41,1,641
000584,93357600,716766,733896,6.4,4,2560
000584,93358370,735436,679450,6.41,1,641
000584,93358720,736068,679450,6.41,30,19230
000584,93359280,736923,679450,6.41,1,641
000584,93400170,738537,679450,6.41,5,3205
000584,93400170,738544,679450,6.41,1,641
000584,93400170,738546,679450,6.41,1,641
000584,93400190,738592,679450,6.41,4,2564
000584,93400200,738606,679450,6.41,4,2564
000584,93400200,738608,679450,6.41,1,641
000584,93400210,738630,679450,6.41,1,641
000584,93400210,738633,679450,6.41,2,1282
000584,93401780,738649,741969,6.41,7,4487
000584,93401780,738652,741969,6.41,1,641
000584,93401780,738696,741969,6.41,4,2564
000584,93401780,738732,741969,6.41,2,1282
000584,93401780,738747,741969,6.41,2,1282
000584,93401780,738897,741969,6.41,2,1282
000584,93401780,738909,741969,6.41,10,6410
000584,93401780,739049,741969,6.41,8,5128
000584,93403360,739123,744702,6.41,1,641
000584,93403360,739210,744702,6.41,5,3205
000584,93403360,739259,744702,6.41,5,3205
000584,93403360,739451,744702,6.41,6,3846
000584,93403360,739655,744702,6.41,1,641
000584,93403520,745019,107904,6.42,6,3852
000584,93412470,761007,107904,6.42,4,2568
000584,93412470,761007,446325,6.42,10,6420
000584,93412470,761007,494677,6.42,48,30816
000584,93412470,761007,646722,6.42,10,6420
000584,93412470,761007,750329,6.42,5,3210
000584,93415270,761007,765828,6.42,15,9630
000584,93420760,776118,69145,6.43,10,6430
000584,93420760,776118,261121,6.43,10,6430
000584,93420760,776118,293839,6.43,10,6430
000584,93420760,776118,393913,6.43,10,6430
000584,93420760,776118,405409,6.43,20,12860
000584,93420760,776118,446622,6.43,20,12860
000584,93420760,776118,547526,6.43,12,7716
000584,93420760,776118,552796,6.43,51,32793
000584,93421160,776657,552796,6.43,3,1929
000584,93421230,776755,552796,6.43,1,643
000584,93421350,777011,552796,6.43,1,643
000584,93421440,777179,552796,6.43,11,7073
000584,93421590,761007,777509,6.42,2,1284
000584,93428000,788456,552796,6.43,63,40509
000584,93433500,797537,118177,6.44,2,1288
000584,93433550,797627,118177,6.44,4,2576
000584,93433550,797627,258009,6.44,10,6440
000584,93433550,797627,329221,6.44,20,12880
000584,93433550,797627,614819,6.44,40,25760
000584,93433550,797627,638663,6.44,10,6440
000584,93436250,802537,138461,6.45,1,645
000584,93440180,797627,809455,6.44,1,644
000584,93441460,797627,811520,6.44,5,3220
000584,93441620,811753,138461,6.45,12,7740
000584,93445650,818710,138461,6.45,3,1935
000584,93448260,797627,822722,6.44,1,644
000584,93449660,825269,138461,6.45,3,1935
000584,93449660,825269,644009,6.45,10,6450
000584,93449660,825269,804459,6.45,21,13545
000584,93451330,797627,827847,6.44,1,644
000584,93454310,797627,832646,6.44,13,8372
000584,93454410,797627,832802,6.44,26,16744
000584,93454410,802388,832802,6.44,6,3864
000584,93454410,803798,832802,6.44,8,5152
000584,93456370,836113,832802,6.44,13,8372
000584,93456370,836113,832909,6.44,1,644
000584,93456370,836113,804459,6.45,9,5805
000584,93456370,836113,817576,6.45,6,3870
000584,93456370,836113,821151,6.45,29,18705
000584,93458530,839783,838706,6.44,4,2576
000584,93458530,839783,821151,6.45,16,10320
000584,93514270,867375,840450,6.44,6,3864
000584,93514830,868381,840450,6.44,44,28336
000584,93514830,868381,851753,6.44,10,6440
000584,93514830,868381,862089,6.44,20,12880
000584,93514830,868381,821151,6.45,101,65145
000584,93515390,869237,821151,6.45,2,1290
000584,93515390,869237,826329,6.45,2,1290
000584,93518710,874796,826329,6.45,4,2580
000584,93519660,876440,876524,6.44,27,17388
000584,93519660,791483,876524,6.43,1,643
000584,93519660,792096,876524,6.43,5,3215
000584,93519660,792423,876524,6.43,1,643
000584,93519660,792437,876524,6.43,1,643
000584,93519660,796921,876524,6.43,35,22505
000584,93520460,878063,826329,6.45,3,1935
000584,93521930,880842,879110,6.44,10,6440
000584,93523190,883115,879110,6.44,1,644
000584,93526160,887763,879110,6.44,35,22540
000584,93529190,893029,879110,6.44,21,13524
000584,93543930,796921,920774,6.43,29,18647
000584,93543930,857480,920774,6.43,36,23148
000584,93543930,869233,920774,6.43,1,643
000584,93543930,869619,920774,6.43,10,6430
000584,93543930,887844,920774,6.43,50,32150
000584,93543930,761007,920774,6.42,31,19902
000584,93545410,761007,923151,6.42,1,642
000584,93548700,928880,921667,6.43,10,6430
000584,93557250,761007,943770,6.42,1,642
000584,93557290,761007,943859,6.42,1,642
000584,93557840,761007,945103,6.42,2,1284
000584,93557840,761007,945107,6.42,1,642
000584,93557890,761007,945232,6.42,4,2568
000584,93557910,761007,945293,6.42,4,2568
000584,93558520,761007,946286,6.42,1,642
000584,93559070,761007,947194,6.42,2,1284
000584,93559220,761007,947392,6.42,12,7704
000584,93559330,761007,947515,6.42,13,8346
000584,93559330,761007,947538,6.42,9,5778
000584,93559330,765977,947538,6.42,1,642
000584,93559330,769463,947538,6.42,14,8988
000584,93559340,769463,947558,6.42,6,3852
000584,93559340,933446,947558,6.42,2,1284
000584,93559340,933447,947558,6.42,1,642
000584,93600340,744680,948945,6.41,1,641
000584,93601250,744680,950682,6.41,1,641
000584,93601530,744680,951141,6.41,1,641
000584,93606600,959067,957254,6.42,1,642
000584,93608080,960349,962008,6.42,8,5136
000584,93612030,968457,962008,6.42,6,3852
000584,93612480,969309,962008,6.42,5,3210
000584,93612950,744680,970229,6.41,1,641
000584,93612950,744730,970229,6.41,1,641
000584,93612950,744731,970229,6.41,1,641
000584,93612950,749894,970229,6.41,2,1282
000584,93612950,750020,970229,6.41,2,1282
000584,93612950,750107,970229,6.41,4,2564
000584,93612950,759899,970229,6.41,3,1923
000584,93612950,782768,970229,6.41,6,3846
000584,93612950,793728,970229,6.41,1,641
000584,93612950,793794,970229,6.41,1,641
000584,93612950,793892,970229,6.41,1,641
000584,93612950,793936,970229,6.41,1,641
000584,93612950,794129,970229,6.41,1,641
000584,93612950,798821,970229,6.41,1,641
000584,93612950,825819,970229,6.41,1,641
000584,93612950,852632,970229,6.41,3,1923
000584,93613210,716766,970663,6.4,5,3200
000584,93615180,973580,970229,6.41,1,641
000584,93615180,973582,970229,6.41,1,641
000584,93626560,991371,970229,6.41,2,1282
000584,93627130,992080,970229,6.41,1,641
000584,93627530,992736,970229,6.41,1,641
000584,93627530,992738,970229,6.41,1,641
000584,93631230,998568,970229,6.41,1,641
000584,93631240,998594,970229,6.41,1,641
000584,93631340,998756,970229,6.41,1,641
000584,93638060,1009192,962008,6.42,1,642
000584,93651740,1008931,1029697,6.41,1,641
000584,93651740,1008978,1029697,6.41,1,641
000584,93651740,1009022,1029697,6.41,1,641
000584,93651740,1009033,1029697,6.41,1,641
000584,93651740,1009098,1029697,6.41,1,641
000584,93651740,1012500,1029697,6.41,1,641
000584,93651740,1028234,1029697,6.41,1,641
000584,93654170,1033251,1029697,6.41,23,14743
000584,93659170,1040799,963776,6.42,11,7062
000584,93659170,1040799,986708,6.42,50,32100
000584,93659170,1040799,1025346,6.42,39,25038
000584,93709370,1055753,1025346,6.42,1,642
000584,93717310,1067871,1025346,6.42,1,642
000584,93720300,1042136,1072602,6.41,15,9615
000584,93720300,1046893,1072602,6.41,35,22435
000584,93720300,1064688,1072602,6.41,1,641
000584,93720300,1064689,1072602,6.41,1,641
000584,93720300,716766,1072602,6.4,50,32000
000584,93720300,722358,1072602,6.4,2,1280
000584,93720300,727334,1072602,6.4,1,640
000584,93720300,727337,1072602,6.4,1,640
000584,93720300,852157,1072602,6.4,30,19200
000584,93720300,984995,1072602,6.4,15,9600
000584,93720300,1001584,1072602,6.4,3,1920
000584,93720300,1001632,1072602,6.4,1,640
000584,93720300,1003952,1072602,6.4,40,25600
000584,93720300,1006758,1072602,6.4,2,1280
000584,93720300,1018067,1072602,6.4,15,9600
000584,93720300,1037835,1072602,6.4,1,640
000584,93720300,1037839,1072602,6.4,1,640
000584,93720300,710966,1072602,6.39,1,639
000584,93720300,733612,1072602,6.39,1,639
000584,93720300,733613,1072602,6.39,1,639
000584,93720310,1072626,1072602,6.39,41,26199
000584,93722400,1075409,1076186,6.41,1,641
000584,93732730,1075409,1091334,6.41,16,10256
000584,93736680,1097310,1025346,6.42,4,2568
000584,93736680,1097310,1042317,6.42,6,3852
000584,93742110,1105582,1042317,6.42,1,642
000584,93742110,1105582,1048656,6.42,5,3210
000584,93742110,1105582,1068596,6.42,2,1284
000584,93747880,1075409,1115030,6.41,1,641
000584,93748100,1115390,1115030,6.41,1,641
000584,93752020,1115392,1121911,6.41,1,641
000584,93752020,1115595,1121911,6.41,1,641
000584,93752020,1116653,1121911,6.41,1,641
000584,93752020,1116654,1121911,6.41,1,641
000584,93752020,1116793,1121911,6.41,1,641
000584,93752020,1120418,1121911,6.41,1,641
000584,93752020,1120507,1121911,6.41,1,641
000584,93752020,1120687,1121911,6.41,1,641
000584,93752020,1120688,1121911,6.41,3,1923
000584,93752640,1122952,1121911,6.41,1,641
000584,93752650,1122954,1121911,6.41,1,641
000584,93754130,1123261,1125072,6.41,1,641
000584,93754130,1124052,1125072,6.41,1,641
000584,93754340,1125474,1125072,6.41,1,641
000584,93754440,1125697,1125072,6.41,11,7051
000584,93757090,1129630,1125072,6.41,2,1282
000584,93757240,1129915,1125072,6.41,34,21794
000584,93803130,1139377,1068596,6.42,32,20544
