code,time,price,vol,type,order_type,order_no
000584,93001480,6.39,76,2,2,238771
000584,93001750,6.95,66,2,2,244675
000584,93001780,6.89,47,2,2,245339
000584,93001920,6.38,29,2,1,247863
000584,93002480,6.44,10,2,2,258009
000584,93002510,6.38,1,2,1,258726
000584,93002690,6.43,10,2,2,261121
000584,93002990,6.49,2,2,2,265426
000584,93003250,6.27,5,2,1,268870
000584,93003280,6.31,32,2,1,269199
000584,93003520,6.38,9,2,1,271455
000584,93003540,6.59,93,2,2,271745
000584,93003580,6.29,5,2,1,272102
000584,93003590,6.8,15,2,2,272149
000584,93003630,6.31,5,2,1,272544
000584,93003760,6.22,5,2,1,273549
000584,93003930,6.31,34,2,1,275063
000584,93004190,6.38,3,2,1,277280
000584,93004320,6.38,2,2,2,278511
000584,93004520,6.22,32,2,1,280042
000584,93004660,6.4,210,2,1,280782
000584,93005010,6.56,12,2,2,283616
000584,93005230,6.11,33,2,1,285390
000584,93005250,6.55,64,2,2,285611
000584,93005400,6.4,5,2,2,286469
000584,93005660,6.31,20,2,1,287946
000584,93005850,6.02,35,2,1,289009
000584,93006160,6.45,10,2,2,290924
000584,93006240,6.85,15,2,2,291591
000584,93006700,6.99,20,2,2,293818
000584,93006700,6.43,10,2,2,293839
000584,93008130,6.57,10,2,2,300338
000584,93008310,6.37,27,2,1,301441
000584,93008340,6.44,200,2,2,301601
000584,93009260,6.3,10,2,1,304396
000584,93009360,6.3,17,2,1,304890
000584,93009400,6.38,18,2,1,305059
000584,93012000,6.38,2,2,2,310230
000584,93012080,6.41,25,2,2,310340
000584,93012450,6.98,5,2,2,310958
000584,93014570,6.46,15,2,2,314698
000584,93017370,6.37,14,2,2,319009
000584,93018450,6.4,197,2,1,320842
000584,93019080,6.38,20,2,2,322131
000584,93019320,6.4,10,2,1,322478
000584,93020940,6.39,2,2,2,324718
000584,93021280,6.4,2,2,1,325358
000584,93021280,6.4,1,2,1,325363
000584,93023650,6.44,20,2,2,329221
000584,93024080,6.41,1,2,1,329962
000584,93024350,6.4,65,2,2,330429
000584,93031660,6.39,30,2,1,342802
000584,93032210,6.39,22,2,1,343627
000584,93035270,6.39,517,2,2,349075
000584,93035560,6.41,12,2,1,349488
000584,93036010,6.41,6,2,2,350213
000584,93039900,6.39,56,2,1,357467
000584,93041790,6.41,60,2,2,360731
000584,93046300,6.41,6,2,2,369362
000584,93047640,6.38,11,2,2,371308
000584,93048240,6.38,2,2,1,372261
000584,93048960,6.49,63,2,2,373813
000584,93051740,6.48,30,2,2,378872
000584,93052490,6.43,4,2,2,380340
000584,93052930,6.39,10,2,1,381129
000584,93055640,6.38,20,2,2,385801
000584,93056620,6.57,20,2,2,387286
000584,93057040,6.39,30,2,2,388112
000584,93057220,6.36,18,2,1,388398
000584,93058500,6.38,7,2,2,390756
000584,93100260,6.36,1,2,1,393408
000584,93100500,6.43,10,2,2,393913
000584,93101050,6.38,18,2,2,395186
000584,93101880,6.31,10,2,1,396617
000584,93102620,6.39,150,2,1,397744
